benchmark,model_variant,mode_label,mode,n_total,n_complete,n_pending,n_comparable,n_not_comparable,n_followed_strict,followed_strict_fraction_all,followed_strict_pct_all,followed_strict_fraction_comparable,followed_strict_pct_comparable,n_followed_or_mostly,followed_or_mostly_fraction_all,followed_or_mostly_pct_all,followed_or_mostly_fraction_comparable,followed_or_mostly_pct_comparable,n_followed,followed_fraction_all,followed_pct_all,n_mostly_followed,mostly_followed_fraction_all,mostly_followed_pct_all,n_partially_followed,partially_followed_fraction_all,partially_followed_pct_all,n_missed_crucial_steps,missed_crucial_steps_fraction_all,missed_crucial_steps_pct_all,n_did_not_follow,did_not_follow_fraction_all,did_not_follow_pct_all,not_comparable_fraction_all,not_comparable_pct_all,n_pending_label,pending_fraction_all
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,83,83,0,83,0,36,36/83,43.4,36/83,43.4,57,57/83,68.7,57/83,68.7,36,36/83,43.4,21,21/83,25.3,11,11/83,13.3,11,11/83,13.3,4,4/83,4.8,0/83,0.0,0,0/83
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,83,83,0,83,0,55,55/83,66.3,55/83,66.3,74,74/83,89.2,74/83,89.2,55,55/83,66.3,19,19/83,22.9,5,5/83,6.0,4,4/83,4.8,0,0/83,0.0,0/83,0.0,0,0/83
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,83,83,0,83,0,37,37/83,44.6,37/83,44.6,59,59/83,71.1,59/83,71.1,37,37/83,44.6,22,22/83,26.5,9,9/83,10.8,9,9/83,10.8,6,6/83,7.2,0/83,0.0,0,0/83
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,83,83,0,83,0,39,39/83,47.0,39/83,47.0,58,58/83,69.9,58/83,69.9,39,39/83,47.0,19,19/83,22.9,9,9/83,10.8,10,10/83,12.0,6,6/83,7.2,0/83,0.0,0,0/83
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,83,83,0,83,0,41,41/83,49.4,41/83,49.4,71,71/83,85.5,71/83,85.5,41,41/83,49.4,30,30/83,36.1,5,5/83,6.0,7,7/83,8.4,0,0/83,0.0,0/83,0.0,0,0/83
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,83,83,0,83,0,26,26/83,31.3,26/83,31.3,48,48/83,57.8,48/83,57.8,26,26/83,31.3,22,22/83,26.5,18,18/83,21.7,11,11/83,13.3,6,6/83,7.2,0/83,0.0,0,0/83
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,135,135,0,134,1,14,14/135,10.4,14/134,10.4,64,64/135,47.4,64/134,47.8,14,14/135,10.4,50,50/135,37.0,28,28/135,20.7,36,36/135,26.7,6,6/135,4.4,1/135,0.7,0,0/135
lakeqa,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,135,135,0,135,0,38,38/135,28.1,38/135,28.1,77,77/135,57.0,77/135,57.0,38,38/135,28.1,39,39/135,28.9,28,28/135,20.7,25,25/135,18.5,5,5/135,3.7,0/135,0.0,0,0/135
lakeqa,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,135,135,0,135,0,28,28/135,20.7,28/135,20.7,66,66/135,48.9,66/135,48.9,28,28/135,20.7,38,38/135,28.1,36,36/135,26.7,26,26/135,19.3,7,7/135,5.2,0/135,0.0,0,0/135
lakeqa,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,135,135,0,135,0,15,15/135,11.1,15/135,11.1,32,32/135,23.7,32/135,23.7,15,15/135,11.1,17,17/135,12.6,14,14/135,10.4,72,72/135,53.3,17,17/135,12.6,0/135,0.0,0,0/135
lakeqa,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,135,135,0,135,0,11,11/135,8.1,11/135,8.1,34,34/135,25.2,34/135,25.2,11,11/135,8.1,23,23/135,17.0,21,21/135,15.6,64,64/135,47.4,16,16/135,11.9,0/135,0.0,0,0/135
lakeqa,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,135,135,0,135,0,7,7/135,5.2,7/135,5.2,25,25/135,18.5,25/135,18.5,7,7/135,5.2,18,18/135,13.3,16,16/135,11.9,68,68/135,50.4,26,26/135,19.3,0/135,0.0,0,0/135
